ASIN,Title,Brand,URL
B01AKGRTUM,"Oral-B Pro 1000 Rechargeable Electric Toothbrush, Black",20 offers from $49.90,https://www.amazon.com/dp/B01AKGRTUM
B003UKM9CO,"Oral-B Pro 1000 Rechargeable Electric Toothbrush, White",,https://www.amazon.com/dp/B003UKM9CO
B008I2IKI6,"Oral-B 3D White Action Power Toothbrush, 1 Count (Colors May Vary), Multi-colored",,https://www.amazon.com/dp/B008I2IKI6
B07XF8NT4C,"Oral-B Pro 1000 Rechargeable Electric Toothbrush, Pink",6 offers from $46.97,https://www.amazon.com/dp/B07XF8NT4C
B0B5HRWH1S,"Oral-B Rechargeable Electric Toothbrush, iO3 Limited Deep Clean, 3 Cleaning Modes, Visual Pressure Sensor to Protect Gums, 2 Brush Heads, Travel Case, Black",,https://www.amazon.com/dp/B0B5HRWH1S
B003E09CPM,"Oral-B 3D White Pulsar, Battery electric toothbrushes, 2 count SOFT toothbrush pack, removes stains, whitens teeth, travel essentials tooth brush",12 offers from $13.99,https://www.amazon.com/dp/B003E09CPM
B0D1DQ7BH9,"Oral-B Rechargeable Electric Toothbrush, iO2 Starter Kit, 3 Cleaning Modes, Automatic Pressure Sensor to Protect Gums, 2 Brush Heads, Night Black",15 offers from $49.99,https://www.amazon.com/dp/B0D1DQ7BH9
B0B6JTYB49,"Oral-B Pro 100 CrossAction, Battery Powered Toothbrush, Black, 1 Count (Pack of 1)",2 offers from $9.99,https://www.amazon.com/dp/B0B6JTYB49
B0B6KKXWQV,"Oral-B Pro 100 3D White, Battery Toothbrush, White",1 offer from $11.99,https://www.amazon.com/dp/B0B6KKXWQV
B0CP8QM3R1,"TEETHEORY Rotating Electric Toothbrush for Adults with 8 Brush Heads (2 Types), 4 Modes Deep Clean Electric Toothbrush with Rechargeable Power and 2 Min Smart Timer (1- Black, p1)",,https://www.amazon.com/dp/B0CP8QM3R1
B07L5P2J8D,"Oral-B Pro 1000 CrossAction Electric Toothbrush, Black and White, 2 Count",15 offers from $75.02,https://www.amazon.com/dp/B07L5P2J8D
B07XG68WX2,"Oral-B Pro 1000 CrossAction Electric Toothbrush, Green",1 offer from $79.49,https://www.amazon.com/dp/B07XG68WX2
B0DLLGG2Z8,"Oral-B Rechargeable Electric Toothbrush, iO Limited Simple Clean, 3 Cleaning Modes, Automatic Pressure Sensor to Protect Gums, Travel Case, Night Black",,https://www.amazon.com/dp/B0DLLGG2Z8
B0B5HVM6JX,"Oral-B Rechargeable Electric Toothbrush, iO5 Limited Deep Clean & Whiten, 5 Cleaning Modes, Visual Pressure Sensor to Protect Gums, Travel Case, 3 Brush Heads, Black",,https://www.amazon.com/dp/B0B5HVM6JX
B0DQS6PD7B,"Bitvae R1 Rotating Electric Toothbrush with 8 Brush Heads for Adults and Kids, 60-Day Battery Life, 5 Modes Rechargeable Power Toothbrush with 2-Minute Smart Timer, Black",,https://www.amazon.com/dp/B0DQS6PD7B
B0GMXYHMDY,"MCUDKIK Rotating Electric Toothbrush for Adults, Rechargeable Power Toothbrush with 5 Cleaning Modes, 2-Minute Smart Timer, 8 Brush Heads (2 Types), Travel Case, Black",,https://www.amazon.com/dp/B0GMXYHMDY
B0DCCJZC9F,"Oral-B iO Deep Clean + Protect Rechargeable Electric Toothbrush, Black, iO Series 7, 2 Replacement Brush Heads, Charging Travel Case (package may vary)",,https://www.amazon.com/dp/B0DCCJZC9F
B07YP5KJ3B,Oral-B Kids Electric Toothbrush Featuring Disney's Frozen for Kids 3+,,https://www.amazon.com/dp/B07YP5KJ3B
B08MMD67BR,"Oral-B Smart 1500 Electric Power Rechargeable Battery Toothbrush, Black",,https://www.amazon.com/dp/B08MMD67BR
B0B5HSNPNH,"Oral-B iO Series 9 Electric Toothbrush with 4 Brush Heads, Aqua Alabaster",1 offer from $319.00,https://www.amazon.com/dp/B0B5HSNPNH
B089L8NP96,"Oral-B Kids Electric Toothbrush Featuring Marvel's Spiderman, for Kids 3+",,https://www.amazon.com/dp/B089L8NP96
B0BP5XSH7T,"Oral-B Rechargeable Electric Toothbrush, iO3 Clean & Protect, 3 Cleaning Modes, Visual Pressure Sensor to Protect Gum, Black",,https://www.amazon.com/dp/B0BP5XSH7T
B08MMBCYRM,"Oral-B Pro 100 Charcoal, Battery Powered Electric Toothbrush, Black",,https://www.amazon.com/dp/B08MMBCYRM
B0G43HHMTL,"MCUDKIK Rotating Electric Toothbrush for Adults, 8 Brush Heads (2 Types) & Travel Case, 5 Cleaning Modes Rechargeable Power Toothbrush with 2-Minute Smart Timer, Black",1 offer from $28.99,https://www.amazon.com/dp/B0G43HHMTL
B0CY1ZW4XW,"TEETHEORY Rotating Electric Toothbrush for Adults with 8 Brush Heads, Sensitive Gum Care Electric Toothbrush with 3 Modes and 2 Min Smart Timer, Rechargeable Last 60 Days (Black, 1 Count)",,https://www.amazon.com/dp/B0CY1ZW4XW
B084PPRXB5,"Oral-B Genius X Limited Rechargeable Electric Toothbrush with 1 Replacement Brush Head, Travel Case, Midnight Black",,https://www.amazon.com/dp/B084PPRXB5
B0FTTXWTQ7,"Oral-B Rechargeable Electric Toothbrush, iO2, 3 Cleaning Modes, Automatic Pressure Sensor to Protect Gums, Dark Blue",,https://www.amazon.com/dp/B0FTTXWTQ7
B01K0X5ZY2,"Spinbrush Pro+ Deep Clean Value Pack, Battery Toothbrush for Adults, 2 Brushes & 4 Replacement Heads",3 offers from $44.99,https://www.amazon.com/dp/B01K0X5ZY2
